State,Name of Facility,HPMS Toll ID,Financing or Operating Authority,From,To,Miles,Kilometers,Rural/Urban,Interstate Route,"One Way (N,S,E,W)",Both Ways,Collection System -No,Collection -Yes/Kind,Non-Toll Miles,Remarks,Federal Authority Source,Fee Type,Max Pass. Fee,Min Pass. Fee,Passenger Cost per Vehicle-Mile,Max Truck Fee,Min Truck Fee,Truck Cost per Vehicle-Mile,
Alabama,Foley Beach Express,4,"Alinda Roads, LLC",AL 59 (in Foley),AL 180 (in Orange Beach),8.53,13.73,Minor Arterial,Rural,,,X,,Infrared,5.429,Private - Trucks +$1.00 per axle,,Fixed: rate based on axle/weight/price based on distance traveled,$3.50 ,$1.50 ,$0.18 ,$2.50 ,$2.50 ,$3.50 
California,Seventeen Mile Drive,17,Pebble Beach Company,Pacific Grove,Carmel,10.8,17.38,local,Urban,X,,,X,,,Private: Length is 17.3 Mi if complete circuit is made via Sloat Rd-Lopez Rd-Sunridge Rd-Constanilla Way-Los Altos Dr & Scenic Dr,,Fixed: rate based on axle/weight/price based on distance traveled,$9.50 ,$9.50 ,,,,
California,Route 91 Express Lanes,18,Orange County Transportation Authority,Orange/Riverside County Line,Highway 55,10,16.09,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Project developed under Assembly Bill 680 (1989) private partnership law.  Utilizes DBOM.  Facility opened in 1995.,,Fixed variable: rate based on time of day,$10.25 ,$1.30 ,$0.28 ,$0.00 ,$0.00 ,$0.00 
California,"Eastern Trans. Corridor (Routes 261, 241, & 133)",19,CA Department of Trans; Orange County Trans Corridor Agencies,State Route 91,I-5 & State Route 133,24,38.62,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Feb. 1999.,,Fixed variable: rate based on time of day,,,,,,
California,Foothill Trans. Corridor (Route 241),20,CA Department of Trans; Trans Corridor Agencies,I-5 San Clemente,State Route 241; Eastern Corridor,28,45.06,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Jan. 1999.  Toll type also based on axels.  Details for revenue & traffic by truck not readily available.  Avg. cost per mile calculated includes trucks and passenger vehicles.,Section 129 Toll Agreement,Fixed variable: rate based on time of day,$2.50 ,$0.25 ,$33.32 ,$10.00 ,$0.25 ,$33.32 
California,San Joaquin Hills Trans Corridor (Route 73),21,CA Department of Trans; Trans Corridor Agencies,Newport Beach,San Juan Capistrano,15,24.14,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,FASTRAK/Title 21/Tiris,,Construction completed Nov 21. 1996.  Toll type also based on axels.  Details for revenue & traffic are not readily avail. though vehicle traffic accounts for 99% of overall traffic.  Calculated cost per mile includes truck revenue.,Section 129 Toll Agreement,Fixed variable: rate based on time of day,$4.75 ,$0.50 ,$41.70 ,$19.00 ,$0.50 ,$41.70 
California,Route 125,23,"California Transportation Ventures, Inc.",State Route 905,State Route 54,10,16.09,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,FASTRAK/Title 21/Tiris,,Project developed under Assembly Bill 680 (1989) private partnership law.  Utilizes DBOM.  Facility opened in 2007.,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.85 ,$0.85 ,,$7.70 ,$1.70 ,
Colorado,Northwest Parkway,25,Northwest Parkway Public Highway Authority,"I-25, MP 228 in North Denver",96th Street (in City of Broomfield),11,17.7,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,EXpress Toll - AVI,,"Opened Nov. 24, 2003; On August 30, 2007, the Parkway Authority signed a $603 million, 99 year concession agreement with Portugal based Brisa. Passenger vehicle rate is $3 for 11 mile trip.  Each additional axle is $3",Express Lanes Demo Program,Fixed: rate based on axle/weight/price based on distance traveled,$3.55 ,$1.05 ,$0.29 ,$13.60 ,$1.05 ,$1.23 
Colorado,E-470,26,E-470 Public Highway Authority,I-25 & C-470; Douglas County,I-25 & Northwest Parkway; Adams County,47,75.64,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,EXpress Toll and Automatic Vehicle ID(AVI),,Pass Veh toll rate is $11 for 46.10 mile trip.  Each additional axle is $11,,Fixed: rate based on axle/weight/price based on distance traveled,$15.95 ,$1.30 ,$0.24 ,$63.80 ,$1.30 ,$1.35 
Colorado,Pikes Peak Toll Road,299,City of Colorado Springs operates under a Term Special Use Permit issued by the US Forest Service,"Town of Cascade, US 24 west of Colorado Springs","Top of Pikes Peak Mountain -14, 110' elevation",19,30.58,local,Rural,,W,,X,,,"Road (39 miles) is owned by the Forest Service but operated by the City of Colorado Springs, which received a special use permit in the late 1940's to turn it into a toll road.  Toll is fixed $10 per person, $5 for kids, $40 max fee per vehicle.",,,$40.00 ,$10.00 ,$0.39 ,$40.00 ,$10.00 ,$0.39 
Delaware,SR -1,29,DE Dept of Trans,Old Lebanon Road (Rd. 357),Dyke Branch Road (Rd. 331),7.74,12.46,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Dyke Branch Road (Rd. 331),Smyrna Toll (Rd. 150-B),5.85,9.41,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Smyrna Toll (Rd. 150-B),North Smyrna Urban Limit,2.72,4.38,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,North Smyrna Urban Limit,C&D Canal Bridge,18.51,29.79,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,C&D Canal Bridge,Tybouts Corner,4.38,7.05,Principal Arterial - Other Freeways and Expressways,Urban,X,,,X,,4.38,Non-toll Section,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,Tybouts Corner,US 13 North of Tybouts Corner,0.81,1.3,Principal Arterial - Other,Rural,X,,,X,,0.81,Non-toll Section,,,,,,,,
Delaware,SR -1,29,DE Dept of Trans,US 13 North of Tybouts Corner,I-95,4.81,7.74,Principal Arterial - Other,Rural,X,,,X,,4.81,Non-toll Section,,,,,,,,
Florida,Beachline East (Central Florida Expressway),47,FL Dept of Transportation,SR 520,US 1 at Cocoa,15,24.14,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.25 ,$0.25 ,$0.03 ,$1.50 ,$0.25 ,$0.01 
Florida,Beachline East (Central Florida Expressway),47,FL Dept of Transportation,SR 528,SR 405,6.8,10.94,Principal Arterial - Other Freeways and Expressways,Rural/Urban,,,,X,,6.8,Non-toll Section,Section 129 agreement,,N/A,N/A,N/A,N/A,N/A,N/A
Florida,Beachline Expressway,48,Orlando-Orange Cnty Expway Auth (& FL Dept of Trans),Boggy Creek Road,SR 520,22.46,36.15,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,,Fixed: rate based on axle/weight/price based on distance traveled,$2.50 ,$1.00 ,$0.13 ,$6.50 ,$1.25 ,$0.19 
Florida,Beachline West,49,FL Turnpike Enterprise,I-4 (SR 400),Boggy Creek Road (SR 528A),8.42,13.55,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$0.75 ,$0.07 ,$5.00 ,$1.50 ,$0.22 
Florida,Homestead Extension of Florida Turnpike (HEFT),50,FL Turnpike Enterprise,FL Trnpke MP 47 in Mirahar,US 1 in FL City,47.9,77.09,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$4.75 ,$3.75 ,$0.20 ,$23.75 ,$7.50 ,$0.20 
Florida,Holland East-West Expressway,53,Orlando-Orange Cnty Expway Auth (& FL Dept of Trans),FL Trnpke (SR 50 West),SR 50 East Colonial Drive,22.36,35.98,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,,Fixed: rate based on axle/weight/price based on distance traveled,$3.50 ,$0.25 ,$0.19 ,$9.00 ,$0.25 ,$0.37 
Florida,Sawgrass Expressway (SR 869),54,FL Turnpike Enterprise,FL Trnpke MP 71,I-75 / 595,21.66,34.86,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$2.50 ,$2.00 ,$0.09 ,$12.50 ,$4.00 ,$0.27 
Florida,Central Florida Greenway (SR-417),58,Orlando-Orange Cnty Expway Auth,Seminole/Orange Cnty Line,International Drive,33.4,53.75,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,$0.50 ,$0.14 ,$10.00 ,$0.50 ,$0.27 
Florida,Daniel Webster - Western Beltway Part C,59,Orlando-Orange Cnty Expway Auth,US 441 (Orange Blossom Tr),Seidel Rd,22.02,35.44,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,,Fixed: rate based on axle/weight/price based on distance traveled,$2.50 ,$0.25 ,$0.17 ,$5.50 ,$0.25 ,$0.13 
Florida,Osceola Parkway,60,"Osceola Cnty, FL",Florida Turnpike,I-4 Interchange,12.4,19.96,Principal Arterial - Other Freeways and Expressways,Urban,    X,,X,,"SunPass, EPass, OPass, LeeWay",2.8,"As of 6/1/2013, the collection methods to produce the vehicle cost-per-mile were not available.  Therefore, in order t calculate the information, the AADT just west of the toll plaza was multiplied by the 2-axle toll-rate of $1.75",,Fixed: rate based on axle/weight/price based on distance traveled,$1.75 ,$0.75 ,$0.06 ,$8.75 ,$0.75 ,$0.84 
Florida,Polk Parkway (SR 570),64,FL Turnpike Enterprise,I-4 near Clark Rd extending E to SR 540,N to I-4 near Mt. Olive Rd,24.38,39.24,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.75 ,$3.00 ,$0.13 ,$18.75 ,$6.00 ,$0.42 
Florida,John Land - Apopka Expressway (SR 414),303,Orlando-Orange Cnty Expway Auth,SR 429 (Western Beltway),US 441 South,5,8.05,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,The AADT for these facilities was calculated using a weighted average for the entire corridor,,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$0.25 ,$0.23 ,$2.50 ,$0.25 ,$0.44 
Florida ,East-West (Dolphin) Expressway,45,Miami-Dade Expway Auth (MDX),I - 95  &  I - 395,HEFT,13.98,22.5,Principal Arterial - Other Freeways and Expressways,Urban,X,W,,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$0.25 ,$0.05 ,$5.00 ,$0.50 ,$0.15 
Florida ,Florida Turnpike - Mainline,46,FL Turnpike Enterprise,Miami,Wildwood,266,428.09,Principal Arterial - Other,Rural,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$26.90 ,$21.10 ,$0.06 ,$103.70 ,$46.10 ,$0.19 
Florida,South Dade (Don Shula) Expressway,51,Miami-Dade Expway Auth (MDX),HEFT,Palmetto Expway,7.16,11.52,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$0.65 ,$0.25 ,$0.04 ,$2.60 ,$0.50 ,$0.10 
Florida,Lee Roy Selmon Crosstown Expressway,52,Tampa-Hillsborough Cnty Expwy Auth (FL Dept of Trans),Gandy Boulevard,To I-75,14.17,22.8,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",0.6,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.75 ,$0.50 ,$0.09 ,$24.50 ,$1.00 ,$0.24 
Florida,Miami Airport Expressway,55,Miami-Dade Expway Auth (MDX),I-95,Lejeune Rd (SR 953),4.07,6.55,Principal Arterial - Other Freeways and Expressways,Urban,X,W,,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.25 ,$1.00 ,$0.26 ,$5.00 ,$2.00 ,$1.08 
Florida,Veterans Expressway (SR 589),56,FL Turnpike Enterprise,Courtney Campbell Causeway (SR 60),North Dale Mabry,12.22,19.67,Principal Arterial - Other Freeways and Expressways,Rural/Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$2.25 ,$1.75 ,$0.12 ,$11.25 ,$3.50 ,$0.35 
Florida,Seminole Expressway,57,FL Turnpike Enterprise,Northern Terminus of Eastern Beltway (SR 426-Aloma Ave),I-4 West of US 192,17.45,28.08,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$2.25 ,$2.00 ,$0.12 ,$11.25 ,$4.00 ,$0.36 
Florida,Southern Connector Extension,61,FL Turnpike Enterprise,Central FL Greeneway,I-4 West of US 192,5.1,8.21,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$1.00 ,$0.75 ,$0.10 ,$5.00 ,$1.50 ,$0.32 
Florida,Gratigny Parkway,62,Miami-Dade Expway Auth (MDX),Palmetto Expway,Northwest 119 Street at 27th Ave,5.37,8.64,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$0.65 ,$0.50 ,$0.08 ,$2.60 ,$1.00 ,$0.24 
Florida,Snapper Creek Expressway,315,Miami-Dade Expway Auth (MDX),US1,SR 874,3.01,4.84,Principal Arterial - Other Freeways and Expressways,Urban,X, ,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$0.40 ,$0.25 ,$0.08 ,$1.60 ,$0.50 ,$0.11 
Florida,Suncoast Parkway (SR 589),63,FL Turnpike Enterprise,Veterans near Van Dyke Rd (Hillsborogh Cnty),US 96 (Hernando Cnty),41.43,66.68,Principal Arterial - Other,Rural,X,,X,,"SunPass, EPass, OPass, LeeWay",,,Section 129 agreement,Fixed: rate based on axle/weight/price based on distance traveled,$3.75 ,$3.00 ,$0.08 ,$18.75 ,$6.00 ,$0.22 
Florida,Goldenrod Road Extension,301,Orlando-Orange Cnty Expway Auth (& FL Dept of Trans),Orlando International Airport,SR 551,2.7,4.35,Minor Arterial,Urban,,,X,,"SunPass, EPass, OPass, LeeWay",1.4,Road will become non-tolled and given to the city of Orlando when the tolls pay the bonds used for construction.,,Fixed: rate based on axle/weight/price based on distance traveled,$0.50 ,$0.50 ,$0.19 ,$0.50 ,$0.50 ,$0.19 
Georgia,Georgia 400 Extension,67,GA Dept of Trans; GA Tollway Auth, I-285, I-85,6.2,9.98,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,High Speed Automatic Vehicle ID (AVI),,,,,,,,,,
Illinois,East-West Tollway (SR-56 Connector),77,IL State Hwy Toll Auth,I-88,SR 56,0.4,0.64,Principal Arterial - Other,Urban,X,,X,X,,,,,,,,,,,
Louisiana,Avery Island,89,"Avery Island, Inc.",SR 329 Junction,Avery Island,1.5,2.41,Minor Arterial,Rural,,,,X,,,Private,,,,,,,,
Maine,Maine Turnpike (I-295),90,ME Trnpke Auth,South Portland,South Portland,0.4,0.64,Principal Arterial - Other,Urban,X,,X,,E-ZPass,,,,,,,,,,
Maryland,Intercounty Connector (ICC) (MD 200),99,MD Transportation Authority (MDTA),I-370,I-95/US 1,18,28.97,Principal Arterial - Other Freeways and Expressways,Urban,,,X,,E-ZPass,,"Under construction, only open from I-307 to MD 97.",Section 129 Toll Agreement,Fixed variable: rate based on time of day,$4.00 ,$1.60 ,,$30.00 ,$4.80 ,
Nevada,Valley of Fire Road,115,NV State Park Div,W. Park Entrance (Valley of Fire St Park),East Park Entrance,6.37,10.25,Major Collector,Rural,,,X,X,,,Within Valley of Fire State Park,,,,,,,,
New Hampshire,F.E. Everett Turnpike,118,NH Dept of Trans,Massachusetts Line,Jct I-293 and St 101 in Bedford,13.7,22.05,Principal Arterial - Other Freeways and Expressways,Urban,,,X,X,,,F.E. Everett Trnpke Total Mi = 44.7,,,,,,,,
New Hampshire,F.E. Everett Turnpike,118,NH Dept of Trans,Massachusetts Line,Jct I-293 and St 101 in Bedford,6.4,10.3,Principal Arterial - Other,Rural,,,X,X,,,F.E. Everett Trnpke Total Mi = 44.7,,,,,,,,
New Hampshire,F.E. Everett Turnpike,118,NH Dept of Trans,Massachusetts Line,Jct I-293 and St 101 in Bedford,0.7,1.13,Principal Arterial - Other Freeways and Expressways,Urban,,,X,X,,,F.E. Everett Trnpke Total Mi = 44.7,,,,,,,,
New Hampshire,Henry Bourque Highway (Route 3),119,NH Dept of Trans,NH Rt 101A,Daniel Webster Hwy,1.4,2.25,Principal Arterial - Other,Urban,,,,X,,1.4,Non-toll Section,,,,,,,,
New Hampshire,Spaulding Turnpike,120,NH Dept of Trans,Portsmouth,Jct SR 125 in Milton,5.1,8.21,Principal Arterial - Other Freeways and Expressways,Urban,,,,X,,5.1,Non-toll Section,,,,,,,,
New Hampshire,Spaulding Turnpike,120,NH Dept of Trans,Portsmouth,Jct SR 125 in Milton,7.8,12.55,Principal Arterial - Other,Rural,,,,X,,7.8,Non-toll Section,,,,,,,,
New Hampshire,Spaulding Turnpike,120,NH Dept of Trans,Portsmouth,Jct SR 125 in Milton,13.4,21.57,Principal Arterial - Other Freeways and Expressways,Urban,,,X,X,,3.1,,,,,,,,,
New Hampshire,Spaulding Turnpike,120,NH Dept of Trans,Portsmouth,Jct SR 125 in Milton,3.6,5.79,Principal Arterial - Other,Urban,,,,X,,3.6,Non-toll Section,,,,,,,,
New Hampshire,Spaulding Turnpike,120,NH Dept of Trans,Portsmouth,Jct SR 125 in Milton,3.3,5.31,Principal Arterial - Other,Urban,,,,X,,3.3,Non-toll Section,,,,,,,,
New Hampshire,Mt. Washington Summit Road,121,Mt. Washington Summit Rd Co,SR 16,Mt. Washington,7,11.27,local,Rural,,,,X,,,Private,,,,,,,,
New Jersey,New Jersey Turnpike (Mainline),152,NJ Trnpke Auth,PA Trnpke Ext,Deepwater,14.26,22.95,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,Toll data based on entire mainline,,Fixed variable: rate based on time of day,$5.45 ,$4.15 ,$0.10 ,$37.15 ,$18.80 ,$0.52 
New Jersey,New Jersey Turnpike (Mainline),152,NJ Trnpke Auth,PA Trnpke Ext,Deepwater,37.69,60.66,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,Toll data based on entire mainline,,Fixed variable: rate based on time of day,$5.45 ,$4.15 ,$0.10 ,$25.15 ,$18.80 ,$0.52 
New Jersey,New Jersey 495,153,Port Auth of NY & NJ,I-95,SR 3,0.8,1.29,Principal Arterial - Other Freeways and Expressways,Urban,X,E,,,E-ZPass,,,,,,,,,,
New Jersey,Garden State Parkway,154,NJ Trnpke Auth,Montvale,Cape May,19.89,32.01,Principal Arterial - Other,Rural,X,,,X,,19.89,Non-toll Section,,,,,,,,
New Jersey,Garden State Parkway,154,NJ Trnpke Auth,Montvale,Cape May,4.1,6.6,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,,,Fixed variable: rate based on time of day,$8.25 ,$8.25 ,$0.05 ,$49.50 ,$61.35 ,$0.30 
New Jersey,Garden State Parkway,154,NJ Trnpke Auth,Montvale,Cape May,148.41,238.84,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,,,Fixed variable: rate based on time of day,$8.25 ,$8.25 ,$0.05 ,$49.50 ,$47.90 ,$0.30 
New Jersey,Atlantic City Expressway,155,South Jersey Trans Auth,Atlantic City,"SR 42, Turnersville",12.72,20.47,Principal Arterial - Other,Rural,X,,X,,E-ZPass,,Toll data based on entire mainline,,Fixed: rate based on axle/weight/price based on distance traveled,$3.75 ,$2.43 ,$0.03 ,$18.00 ,$16.20 ,$0.08 
New Jersey,Atlantic City Expressway,155,South Jersey Trans Auth,Atlantic City,"SR 42, Turnersville",31.48,50.66,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,Toll data based on entire mainline,,Fixed: rate based on axle/weight/price based on distance traveled,$3.75 ,$2.43 ,$0.03 ,$18.00 ,$16.20 ,$0.08 
New York,Gov. Thomas E. Dewey Thruway Berkshire Section,187,NY State Thruway Auth,I-87,I-90,5.6,9.01,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,E-ZPass,,Based on travel from Buffalo or NYC.,,,$27.95 ,$0.40 ,$0.05 ,$113.85 ,$0.67 ,$0.24 
New York,Gov. Thomas E. Dewey Thruway Gardenstate Parkway Connection,188,NY State Thruway Auth,New Jersey Line,Spring Valley,2.4,3.86,Principal Arterial - Other Freeways and Expressways,Urban,X,,,X,,2.4,Non-toll Section,,,,,,,,
New York,Whiteface Mountain Vet. Memorial Highway,189,Olympic Regional Dev Auth,Wilmington,Whiteface Mtn,5,8.05,Minor Collector,Rural,,,,X,,,"Whiteface Veterans Memorial Highway is a scenic tollroad. $10.00 per vehicle plus driver, $6.00 each additional passenger. Buses of 20 or more are $6.00 per person. In 2012: 27,200 vehicles, 73,100 visitors, $478,799. Revenue open for 144 days.",,Fixed: rate based on axle/weight/price based on distance traveled,$10.00 ,$10.00 ,$3.52 ,,,
New York,Prospect Mountain Vet. Memorial Highway,190,Dept of Env Conservation,US 9 (gate),Top of Prospect Mtn,5.9,9.5,local,Rural,,,,X,,,This is a road to the scenic view at the top of a mountain.  No trucks.  There's a lower rate for motorcycles and a higher rate for busses - even there it averages out to $10 per vehicle for the year.,,Fixed: rate based on axle/weight/price based on distance traveled,$10.00 ,$10.00 ,$0.67 ,,,
North Carolina,Triangle Expressway,193,North Carolina Turnpike Authority,"I-40/NC 147 interchange, Durham County","I-540, Wake County",12.6,20.28,Principal Arterial - Other Freeways and Expressways,Urban,X,,X,,ETC,3.4,The NCDOT will be requesting NHS designations for a section of this project currently not designated as a future NHS route.,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,,,,,,
